EMD_CD,gu,gu_code,EMD_NM,area_m2,centroid_lon,centroid_lat,infra_score,security_score,transport_score,quiet_score,youth_score
1111010300,종로구,1111000000,궁정동,73324.95212298923,126.97270604674968,37.58469795047034,0.3954,0.2705,0.0,0.9201,0.4823
1111012000,종로구,1111000000,신문로1가,65766.00800376006,126.97392197623392,37.570189840928265,0.7527,0.6933,0.6983,0.7344,0.3883
1111016700,종로구,1111000000,충신동,128234.13542285818,127.00596175750768,37.57495878088671,0.5365,0.8222,0.5069,0.8932,0.2528
1111018500,종로구,1111000000,홍지동,355829.1481991782,126.956568608555,37.60079959046192,0.5169,0.5408,0.6719,0.957,0.3278
1111015400,종로구,1111000000,장사동,57633.9981320931,126.99404345870816,37.56923700572173,0.5758,0.6256,0.4483,0.3097,0.4705
1111013500,종로구,1111000000,관철동,82474.08120891229,126.98600348120073,37.56912504974235,0.7826,0.6699,0.6976,0.3097,0.4516
1111017700,종로구,1111000000,평동,80505.97796310791,126.96686149371072,37.56791628580998,0.7194,0.4436,0.7395,0.98,0.3813
1111016100,종로구,1111000000,종로4가,42847.12754256284,126.99795287784414,37.57067200774152,0.6372,0.4832,0.868,0.3097,0.4862
1111012300,종로구,1111000000,서린동,47468.85998341088,126.98042115338052,37.56952105294966,0.8224,0.8121,0.6242,0.3097,0.4808
1111017800,종로구,1111000000,송월동,44573.61112708502,126.9652179187755,37.57008050767912,0.0,0.6991,0.4986,0.98,0.4125
1111015800,종로구,1111000000,예지동,68500.41725952209,126.9983079336211,37.56963696418501,0.6577,0.6223,0.632,0.3097,0.4614
1111012700,종로구,1111000000,공평동,38672.40698523913,126.9831780644504,37.57130654495565,0.7643,0.5732,0.6655,0.3097,0.4916
1111017900,종로구,1111000000,홍파동,41732.37421554284,126.9639853683004,37.57115081515493,0.5949,0.7748,0.5116,0.98,0.416
1111012600,종로구,1111000000,종로1가,36080.06264840261,126.9797156858191,37.57043314702542,0.8294,0.5856,0.8203,0.3097,0.4953
1111011700,종로구,1111000000,당주동,43229.15917520823,126.97401327150315,37.57158829209711,0.7863,0.6444,0.0,0.7344,0.4105
1111016300,종로구,1111000000,종로5가,111686.46792485258,127.00353604802132,37.57061653194929,0.7411,0.7397,0.7314,0.8932,0.2601
1111013600,종로구,1111000000,인사동,69286.14480154183,126.9860735282945,37.5717156642569,0.6757,0.7682,0.5485,0.3097,0.4608
1111015200,종로구,1111000000,봉익동,39250.07540848121,126.9929977731794,37.57219467639145,0.7338,0.6617,0.0,0.3097,0.4908
1111018000,종로구,1111000000,교북동,29799.885315264517,126.9614573980273,37.57153888903219,0.6868,0.0,0.9423,0.98,0.4338
1111011600,종로구,1111000000,도렴동,29236.76790464782,126.9747586787093,37.57312321825413,0.811,0.5509,0.0,0.7344,0.4311
1111015100,종로구,1111000000,묘동,30068.36612381684,126.99174235750247,37.572435968433645,0.86,0.742,0.5768,0.3097,0.5049
1111015700,종로구,1111000000,인의동,82466.92598891884,126.99769229950292,37.57234351046903,0.6912,0.5618,0.514,0.3097,0.4516
1111012100,종로구,1111000000,신문로2가,255026.40724549425,126.96921953208538,37.57087445556864,0.523,0.4846,0.3736,0.7344,0.3167
1111016200,종로구,1111000000,효제동,100345.9687856964,127.00308794704264,37.57305001249147,0.6251,0.7418,0.5555,0.8932,0.2658
1111012900,종로구,1111000000,견지동,46144.46326498552,126.983012471646,37.57352260675992,0.7007,0.0,0.8156,0.3097,0.4823
1111012400,종로구,1111000000,수송동,98233.35661448711,126.980645007743,37.57369823645372,0.7031,0.222,0.0,0.3097,0.4424
1111012800,종로구,1111000000,관훈동,73372.88043199116,126.98468224932276,37.5741566626176,0.8483,0.5826,0.4017,0.3097,0.4578
1111017400,종로구,1111000000,창신동,779055.1177617704,127.01244848988998,37.57541107347325,0.5557,0.7703,0.5044,0.9756,0.1462
1111013300,종로구,1111000000,익선동,46220.849739197554,126.98970546558408,37.57434875891137,0.7772,0.8518,0.0,0.3097,0.4822
